Time,Event,,,,,,,,,,Hour,Minute,Second
2015-06-27-08:54:31,Ignition BR6,,,,,Ignition BR 6,0:00:00,,8:54:31 AM,,8,54,31
2015-06-27-08:56:31,Ignition BR5,,,,,Ignition BR 5,0:02:00,,8:56:31 AM,,8,56,31
2015-06-27-08:58:46,FD Dispatch,,,,,FD Dispatch,0:04:15,,8:58:46 AM,,8,58,46
2015-06-27-09:01:20,Front Door Open,,,,,Water in BR 6 Window - 15 Seconds,NA,,,,,,
2015-06-27-09:01:50,Nozzle FF Reaches Hallway,,,,,Water in BR 6 Window Stop,NA,,,,,,
2015-06-27-09:02:40,Victim 1 Out,,,,,Water in BR 5 Window - 16 Seconds,NA,,,,,,
2015-06-27-09:02:43,BR 5 & BR 6 Window Open/Cleared,,,,,Water in BR 5 Window Stop,NA,,,,,,
2015-06-27-09:06:03,Victim 2 Out,,,,,2ND Water in BR 6 Window Start,NA,,,,,,
2015-06-27-09:28:43,End of Experiment,,,,,2ND Water in BR 6 Window Stop,NA,,,,,,
,,,,,,Front Door Open,0:06:49,,9:01:20 AM,,9,1,20
,,,,,,Nozzle FF Reaches Hallway,0:07:19,,9:01:50 AM,,9,1,50
,,,,,,BR 5 & BR 6 Window Open/Cleared,0:08:12,,9:02:43 AM,,9,2,43
,,,,,,BR 5 Rear Window Open,0:09:02,0:00:50,9:03:33 AM,,9,3,33
,,,,,,Victim 1 Out,0:08:09,,9:02:40 AM,,9,2,40
,,,,,,Victim 2 Out,0:11:32,,9:06:03 AM,,9,6,3
,,,,,,Living Room Right Window Open,0:18:12,,9:12:43 AM,,9,12,43
,,,,,,Living Room Left Window Open,0:17:32,,9:12:03 AM,,9,12,3
,,,,,,Kitchen Window Open,0:18:56,,9:13:27 AM,,9,13,27
,,,,,,BR 3 Exterior Door Open,NA,,,,,,
,,,,,,BR 4 Exterior Door Open,NA,,,,,,
,,,,,,End of Experiment,0:34:12,,9:28:43 AM,,9,28,43
