Time,Event,,,,,,,,,,Hour,Minute,Second
2015-06-29-08:48:08,Ignition BR6,,,,,Ignition BR 6,0:00:00,,8:48:08 AM,,8,48,8
2015-06-29-08:50:08,Ignition BR5,,,,,Ignition BR 5,0:02:00,,8:50:08 AM,,8,50,8
2015-06-29-08:52:38,FD Dispatch,,,,,FD Dispatch,0:04:30,,8:52:38 AM,,8,52,38
2015-06-29-08:55:00,Water in Window,,,,,Water in BR 6 Window - 19 Seconds,0:06:52,,8:55:00 AM,,8,55,0
2015-06-29-08:55:30,Water in BR 5 Window - 18 Seconds,,,,,Water in BR 6 Window Stop,0:07:11,0:00:19,8:55:19 AM,,8,55,19
2015-06-29-08:56:07,Front Door Open,,,,,Water in BR 5 Window - 18 Seconds,0:07:22,,8:55:30 AM,,8,55,30
2015-06-29-08:56:37,Nozzle FF Reaches Hallway,,,,,Water in BR 5 Window Stop,0:07:40,0:00:18,8:55:48 AM,,8,55,48
2015-06-29-08:57:38,Victim 1 Out,,,,,2ND Water in BR 6 Window Start,NA,,,,,,
2015-06-29-08:57:39,BR 5 & BR 6 Window Open/Cleared,,,,,2ND Water in BR 6 Window Stop,NA,,,,,,
2015-06-29-09:01:20,Victim 2 Out,,,,,Front Door Open,0:07:59,,8:56:07 AM,,8,56,7
2015-06-29-09:19:50,End of Experiment,,,,,Nozzle FF Reaches Hallway,0:08:29,,8:56:37 AM,,8,56,37
,,,,,,BR 5 & BR 6 Window Open/Cleared,0:09:31,,8:57:39 AM,,8,57,39
,,,,,,BR 5 Rear Window Open,0:09:02,###############################################################################################################################################################################################################################################################,8:57:10 AM,,8,57,10
,,,,,,Victim 1 Out,0:09:30,,8:57:38 AM,,8,57,38
,,,,,,Victim 2 Out,0:13:12,,9:01:20 AM,,9,1,20
,,,,,,Living Room Right Window Open,0:17:43,,9:05:51 AM,,9,5,51
,,,,,,Living Room Left Window Open,0:17:55,,9:06:03 AM,,9,6,3
,,,,,,Kitchen Window Open,NA,,,,,,
,,,,,,BR 3 Exterior Door Open,NA,,,,,,
,,,,,,BR 4 Exterior Door Open,NA,,,,,,
,,,,,,End of Experiment,0:31:42,,9:19:50 AM,,9,19,50
