Time,Event,,,,,,,,,,Hour,Minute,Second
2015-06-24-09:00:22,Ignition BR6,,,,,Ignition BR 6,0:00:00,,9:00:22 AM,,9,0,22
2015-06-24-09:02:22,Ignition BR5,,,,,Ignition BR 5,0:02:00,,9:02:22 AM,,9,2,22
2015-06-24-09:04:52,FD Dispatch,,,,,FD Dispatch,0:04:30,,9:04:52 AM,,9,4,52
2015-06-24-09:07:54,Front Door Open,,,,,Water in BR 6 Window - 15 Seconds,NA,,,,,,
2015-06-24-09:08:12,Nozzle FF Reaches Hallway,,,,,Water in BR 6 Window Stop,NA,,,,,,
2015-06-24-09:09:13,BR 5 & BR 6 Window Open/Cleared,,,,,Water in BR 5 Window - 16 Seconds,NA,,,,,,
2015-06-24-09:10:18,Victim 1 Out,,,,,Water in BR 5 Window Stop,NA,,,,,,
2015-06-24-09:13:16,Victim 2 Out,,,,,2ND Water in BR 6 Window Start,NA,,,,,,
2015-06-24-09:33:45,End of Experiment,,,,,2ND Water in BR 6 Window Stop,NA,,,,,,
,,,,,,Front Door Open,0:07:32,,9:07:54 AM,,9,7,54
,,,,,,Nozzle FF Reaches Hallway,0:07:50,,9:08:12 AM,,9,8,12
,,,,,,BR 5 & BR 6 Window Open/Cleared,0:08:51,,9:09:13 AM,,9,9,13
,,,,,,BR 5 Rear Window Open,0:08:17,###############################################################################################################################################################################################################################################################,9:08:39 AM,,9,8,39
,,,,,,Victim 1 Out,0:09:56,,9:10:18 AM,,9,10,18
,,,,,,Victim 2 Out,0:12:54,,9:13:16 AM,,9,13,16
,,,,,,Living Room Right Window Open,0:20:04,,9:20:26 AM,,9,20,26
,,,,,,Living Room Left Window Open,0:20:23,,9:20:45 AM,,9,20,45
,,,,,,Kitchen Window Open,0:19:25,,9:19:47 AM,,9,19,47
,,,,,,BR 3 Exterior Door Open,0:13:29,,9:13:51 AM,,9,13,51
,,,,,,BR 4 Exterior Door Open,0:15:16,,,,,,
,,,,,,End of Experiment,0:33:23,,9:33:45 AM,,9,33,45
