Time,Event,,,,,,,,,,Hour,Minute,Second
2015-06-30-08:02:42,Ignition BR1,,,,,Ignition BR 1,0:00:00,,8:02:42 AM,,8,2,42
2015-06-30-08:04:42,Ignition BR2,,,,,Ignition BR 2,0:02:00,,8:04:42 AM,,8,4,42
2015-06-30-08:07:12,FD Dispatch,,,,,FD Dispatch,0:04:30,,8:07:12 AM,,8,7,12
2015-06-30-08:10:17,Front Door Open,,,,,Water in BR 2 Window - 15 Seconds,NA,,,,,,
2015-06-30-08:10:51,Nozzle FF Reaches Hallway,,,,,Water in BR 2 Window Stop,NA,,,,,,
2015-06-30-08:11:37,Victim 1 Out,,,,,Water in BR 1 Window - 16 Seconds,NA,,,,,,
2015-06-30-08:11:56,BR 1 & BR 2 Window Open/Cleared,,,,,Water in BR 1 Window Stop,NA,,,,,,
2015-06-30-08:14:13,Victim 2 Out,,,,,2ND Water in BR 6 Window Start,NA,,,,,,
2015-06-30-08:34:47,End of Experiment,,,,,2ND Water in BR 6 Window Stop,NA,,,,,,
,,,,,,Front Door Open,0:07:35,,8:10:17 AM,,8,10,17
,,,,,,Nozzle FF Reaches Hallway,0:08:09,,8:10:51 AM,,8,10,51
,,,,,,BR 1 & BR 2 Window Open/Cleared,0:09:14,,8:11:56 AM,,8,11,56
,,,,,,BR 5 Rear Window Open,0:08:29,,8:11:11 AM,,8,11,11
,,,,,,Victim 1 Out,0:08:55,,8:11:37 AM,,8,11,37
,,,,,,Victim 2 Out,0:11:31,,8:14:13 AM,,8,14,13
,,,,,,Living Room Right Window Open,0:07:40,,8:10:22 AM,,8,10,22
,,,,,,Living Room Left Window Open,0:07:37,,8:10:19 AM,,8,10,19
,,,,,,Kitchen Window Open,0:18:46,,8:21:28 AM,,8,21,28
,,,,,,BR 3 Exterior Door Open,NA,,,,,,
,,,,,,BR 4 Exterior Door Open,NA,,,,,,
,,,,,,End of Experiment,0:32:05,,8:34:47 AM,,8,34,47
